,Player,Team,Pos,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
98,Jacobi Wood,MRRY,PG,9,36.0,14.0,4.3,9.0,0.481,2.3,5.1,0.457,3.0,3.9,0.771,0.2,3.8,4.0,4.4,1.1,0.1,2.0,2.0
99,Sion James,TULAN,PG,8,36.6,14.0,4.4,7.4,0.593,1.5,3.4,0.444,3.8,5.0,0.75,0.4,4.5,4.9,2.0,2.0,0.6,1.4,2.3
0,Keisei Tominaga,UNL,PG,8,24.9,14.0,4.6,10.0,0.463,2.0,5.6,0.356,2.8,3.4,0.815,0.1,1.8,1.9,0.8,0.8,0.0,0.9,0.8
1,Isaiah Thompson,FGCU,PG,7,29.3,14.0,3.6,9.1,0.391,1.6,5.3,0.297,5.3,6.0,0.881,0.1,1.4,1.6,2.1,1.0,0.0,2.9,1.0
2,Robbie Beasley III,SANFR,PG,1,15.0,14.0,4.0,6.0,0.667,3.0,5.0,0.6,3.0,4.0,0.75,0.0,3.0,3.0,3.0,0.0,0.0,1.0,2.0
3,Jacari Lane,UNA,PG,11,26.9,13.7,4.5,10.0,0.445,0.6,1.6,0.389,4.2,4.9,0.852,0.3,1.5,1.8,4.5,1.2,0.2,2.2,1.9
4,Sebastian Mack,UCLA,PG,8,30.3,13.6,4.1,10.8,0.384,0.5,2.1,0.235,4.9,5.9,0.83,0.8,3.8,4.5,2.1,1.8,0.0,2.1,2.9
5,Terrell Burden,KENN,PG,10,29.1,13.6,4.4,11.1,0.396,1.0,3.3,0.303,3.8,6.7,0.567,1.0,3.1,4.1,5.9,1.9,0.2,2.8,2.7
6,Eric Gaines,UAB,PG,10,33.8,13.6,4.9,12.1,0.405,1.0,4.3,0.233,2.8,4.5,0.622,0.7,3.0,3.7,3.9,2.4,0.3,2.7,2.1
7,Bez Mbeng,YALE,PG,12,31.3,13.6,4.9,11.2,0.44,1.2,4.5,0.259,2.6,3.7,0.705,0.3,4.4,4.8,3.3,1.9,0.4,1.9,2.0
